t[yr],M_FUV,M_NUV,M_u,M_g,M_r
0.0,-0.8550999,-0.4595999,0.21809998,0.617,1.1066
100000.0,-0.8550999,-0.4595999,0.21809998,0.617,1.1066
200000.0,-0.8550999,-0.4595999,0.21809998,0.617,1.1066
300000.0,-0.8550999,-0.4595999,0.21809998,0.617,1.1066
400000.0,-0.8550999,-0.4595999,0.21809998,0.617,1.1066
500000.0,-0.8550999,-0.4595999,0.21809998,0.617,1.1066
600000.0,-0.8550999,-0.4595999,0.21809998,0.617,1.1066
700000.0,-0.8550999,-0.4595999,0.21809998,0.617,1.1066
800000.0,-0.8550999,-0.4595999,0.21809998,0.617,1.1066
900000.0,-0.85556602,-0.46015442,0.21760172,0.61650174,1.1060776
1000000.0,-0.8608999,-0.46649992,0.21190003,0.6108,1.1001
1100000.0,-0.87429711,-0.48207833,0.19747582,0.59618259,1.0847623
1200000.0,-0.89299614,-0.50371534,0.17620175,0.57481027,1.0627273
1300000.0,-0.90019391,-0.5156313,0.16171563,0.55898533,1.0459701
1400000.0,-0.91640885,-0.53677377,0.1377628,0.53408186,1.0202612
1500000.0,-0.93396659,-0.55936866,0.11170985,0.50704946,0.99246911
1600000.0,-0.94090524,-0.57159356,0.095156426,0.48891068,0.97350858
1700000.0,-0.96017859,-0.59604503,0.066335067,0.45891662,0.94281994
1800000.0,-0.9729456,-0.61454282,0.042396608,0.43331447,0.91647907
1900000.0,-0.93328599,-0.58067187,0.068925575,0.45584353,0.93762046
2000000.0,-0.90114618,-0.55365623,0.089518827,0.4731189,0.95355887
2100000.0,-1.021502,-0.67508182,-0.031687499,0.35907804,0.83613043
2200000.0,-0.98393775,-0.6449271,-0.011628199,0.37622254,0.85002027
2300000.0,-1.0627854,-0.7271253,-0.096936253,0.29510586,0.76546731
2400000.0,-1.0442253,-0.72977178,-0.11711427,0.26783242,0.73338997
2500000.0,-1.2296394,-0.92738775,-0.31826685,0.070570251,0.53259105
2600000.0,-1.145591,-0.85580374,-0.26153923,0.12232881,0.58058035
2700000.0,-1.192248,-0.91097356,-0.32791799,0.058470056,0.51236341
2800000.0,-1.1294434,-0.85346657,-0.27350215,0.10659392,0.56187549
2900000.0,-0.95269341,-0.68559983,-0.11174185,0.24879328,0.70913427
3000000.0,-1.3088644,-1.078682,-0.56320545,-0.21369959,0.23377396
3100000.0,-1.3653143,-1.1572438,-0.66834189,-0.32930614,0.11036547
3200000.0,-1.3417058,-1.1499385,-0.67957107,-0.3534736,0.079115519
3300000.0,-1.3096262,-1.1306772,-0.67869857,-0.36984899,0.054753768
3400000.0,-1.2675887,-1.0963959,-0.66519013,-0.38283699,0.031828409
3500000.0,-1.2149374,-1.0512109,-0.64257043,-0.3913798,0.012948689
3600000.0,-1.1429654,-0.98743977,-0.60444239,-0.39162461,0.002054963
3700000.0,-1.0875546,-0.93936752,-0.58222488,-0.40492535,-0.020875136
3800000.0,-1.0395141,-0.89828175,-0.56708801,-0.42403637,-0.049161777
3900000.0,-0.99097369,-0.85748294,-0.54747577,-0.42779406,-0.059170511
4000000.0,-0.94287517,-0.81689421,-0.52681521,-0.42782942,-0.064773464
4100000.0,-0.89671418,-0.77718298,-0.50202899,-0.41317091,-0.052993346
4200000.0,-0.85096796,-0.73738106,-0.47504537,-0.39225344,-0.033511906
4300000.0,-0.80613223,-0.69738006,-0.44323796,-0.35759608,0.0028757725
4400000.0,-0.76185972,-0.6558706,-0.40871167,-0.32127934,0.040540594
4500000.0,-0.71864235,-0.61153511,-0.36909172,-0.28185384,0.08059807
4600000.0,-0.6802731,-0.57235957,-0.33574519,-0.25400807,0.10648741
4700000.0,-0.65371762,-0.54575768,-0.3176856,-0.25437947,0.097852227
4800000.0,-0.62800061,-0.52028601,-0.29957994,-0.25333977,0.090065998
4900000.0,-0.60756571,-0.50193449,-0.2811841,-0.24341045,0.087628008
5000000.0,-0.58713082,-0.48358297,-0.26278826,-0.23348113,0.085190019
5100000.0,-0.57328611,-0.47397723,-0.25231933,-0.22413123,0.078074053
5200000.0,-0.56033117,-0.46555229,-0.24292065,-0.21485956,0.070326492
5300000.0,-0.54736304,-0.45726054,-0.23432845,-0.2055729,0.059212449
5400000.0,-0.5343827,-0.44909221,-0.22648364,-0.19627236,0.044978564
5500000.0,-0.52097787,-0.44045206,-0.21844185,-0.18719558,0.030751189
5600000.0,-0.49877739,-0.42203533,-0.20631845,-0.18275548,0.016658707
5700000.0,-0.47657692,-0.4036186,-0.19419505,-0.17831539,0.0025662249
5800000.0,-0.45267933,-0.38272096,-0.17695635,-0.16547494,0.0078472508
5900000.0,-0.42675717,-0.35886371,-0.15361534,-0.14261329,0.036239948
6000000.0,-0.400835,-0.33500645,-0.13027433,-0.11975164,0.064632645
6100000.0,-0.37250803,-0.30655307,-0.09728983,-0.085579932,0.097416879
6200000.0,-0.34335378,-0.27651857,-0.060987864,-0.047517441,0.13171185
